date,ndvi_sg,T2M,PPT,RAD,RH
2015-02-23,0.127242334044828,23.19,0.24,22.32,30.65
2015-02-28,0.136943816855353,19.19,38.11,16.67,65.27
2015-03-05,0.146141420768825,22.76,0.15000000000000002,22.84,48.33
2015-03-10,0.154835145785246,23.88,8.36,16.73,48.86
2015-03-15,0.163024991904615,22.75,6.73,23.91,55.01
2015-03-20,0.172329093301522,26.37,0,25.86,37.97
2015-03-25,0.180065142537541,28.33,4.33,23.51,30.99
2015-03-30,0.185148551270168,26.52,0,23.27,44.56
2015-04-04,0.186962748869655,28.75,8.27,22.26,38.98
2015-04-09,0.185867193234181,23.47,13.68,18.29,62.44
2015-04-14,0.183341561368734,29.55,0.05,25.01,43.25
2015-04-19,0.180798934588374,32.18,1.5099999999999998,23.36,24.04
2015-04-24,0.178805504737897,32.25,3.44,25.23,27.91
2015-04-29,0.17761355505094,32.7,1.05,24.62,22.11
2015-05-04,0.17721244905625,33.21,0,24.62,18.88
2015-05-09,0.177399814916708,33.77,3.62,20.56,33.93
2015-05-14,0.17791202955968,33.9,2.16,26.87,29.66
2015-05-19,0.178591917874335,36.3,0.21000000000000002,27.03,20.17
2015-05-24,0.179579554250306,36.61,0.42000000000000004,26.22,17.16
2015-05-29,0.180872433089093,37.39,0.01,24.91,19.78
2015-06-03,0.182107757283586,34.07,2.4899999999999998,22.45,34.99
2015-06-08,0.184193109895459,34.8,5.38,22.05,36.25
2015-06-13,0.188802129664176,29.44,29.200000000000003,16.39,62.56
2015-06-18,0.197733139945734,29.57,32.32,17.52,65.92
2015-06-23,0.212372080916129,26.33,74.15,14.36,83.08
2015-06-28,0.233259745039569,26.89,14.959999999999999,17.46,74.45
2015-07-03,0.25976331580142,26.36,42.69,19.52,79.53
2015-07-08,0.289852209705882,25.8,108.27,10.61,85.13
2015-07-13,0.320479954574321,26.29,49.99,18.5,84.39
2015-07-18,0.348759336198433,25.37,31.7,13.08,88.41
2015-07-23,0.372064285800773,25.62,59.06,12.88,89.54
2015-07-28,0.389206232200567,24.72,0.88,17.91,84.85
2015-08-02,0.400257294364795,24.65,114.31,8.48,87.67
2015-08-07,0.406269610381053,25.74,12.16,16.47,85.61
2015-08-12,0.408890802852165,26.03,50.81,14.74,87.5
2015-08-17,0.409925312745974,25.09,65.78999999999999,14.28,90.29
2015-08-22,0.410797987527258,24.54,11.72,18.26,86.77
2015-08-27,0.411364691411674,24.77,50.39,14.76,92.33
2015-09-01,0.410788107063925,24.65,31.73,20.52,86.49
2015-09-06,0.408604362690252,25.05,4.66,22.31,80.99
2015-09-11,0.40430079859157,25.4,17.17,19.07,81.92
2015-09-16,0.397439335301566,25.07,94.24,16.41,90.61
2015-09-21,0.388029557039879,23.9,27.43,20.32,87.26
2015-09-26,0.375720369568013,24.03,0,20.69,77.39
2015-10-01,0.360090221631007,25.32,0,19.33,79.21
2015-10-06,0.341262716193564,23.57,0,22.1,66.24
2015-10-11,0.320891235755412,24.38,3.1700000000000004,20.19,64.84
2015-10-16,0.301355288208435,24.36,0,19.28,64.8
2015-10-21,0.284628910702531,24.16,1.2,16.3,62.93
2015-10-26,0.271575953691768,23.08,24.48,13.87,76.01
2015-10-31,0.262376068090698,20.82,0,16.57,80.73
2015-11-05,0.255665895975071,22.75,0.53,14.77,67.71
2015-11-10,0.249428164520297,22.01,0,16.31,58.4
2015-11-15,0.242377640975072,20.87,0,16.45,57.59
2015-11-20,0.234531963365528,20.35,0,15.34,61.02
2015-11-25,0.226327804158464,22.43,0,14.73,60
2015-11-30,0.217683337007822,21.36,0,15.14,58.53
2015-12-05,0.208081529500941,19.13,0,16.59,35.94
2015-12-10,0.197735205657583,19.91,0.02,11.46,44.19
2015-12-15,0.187253126584164,18.48,0.02,12.93,32.47
2015-12-20,0.177273982555361,18.4,0.25,10.36,50.93
2015-12-25,0.168429965209511,19.63,0,16.21,25.79
2015-12-30,0.161202525924447,20.93,0,16.63,31.39
2016-01-04,0.155750988920069,20.04,0,15.58,31.53
2016-01-09,0.151552967690143,19.69,0,15.1,25.23
2016-01-14,0.147994225245976,17.58,14.01,9.14,67.75
2016-01-19,0.145101418172018,13.88,0,19.06,32.31
2016-01-24,0.143080359071969,18.97,0,18.29,32.25
2016-01-29,0.141799082498914,21.92,0,19.55,33.37
2016-02-03,0.140654362665339,20.31,0,19.1,34.58
2016-02-08,0.139063139130753,21.3,0.02,18.93,29.21
2016-02-13,0.137097165472084,23.14,0.61,16.13,32.37
2016-02-18,0.135325800685028,26.48,0.29000000000000004,16.74,32.46
2016-02-23,0.134615421570485,25.71,0.03,18.47,22.87
2016-02-28,0.136031192022029,24.83,4.4,14.865,36.364999999999995
2016-03-04,0.140247229586387,26.42,14.2,19.15,46.79
2016-03-09,0.147067804186588,26.22,9.92,18.29,51.3
2016-03-14,0.155249681332945,27.12,0.08,23.46,37.49
2016-03-19,0.163317169118659,27.66,0,25.57,13.59
2016-03-24,0.170362267839586,29.02,8.61,22.58,29.78
2016-03-29,0.175909864204128,29.19,0,25.09,20.16
2016-04-03,0.179352370014255,32.54,0.04,25.07,19.25
2016-04-08,0.179660504852577,32.47,1.03,23.26,25.76
2016-04-13,0.17625853699055,32.02,0.07,27.68,17.03
2016-04-18,0.170027705653402,34.1,0,26.21,17.92
2016-04-23,0.162832434317029,32.79,0.09,28.06,16.64
2016-04-28,0.156742496397251,33.77,0.77,24.4,18.35
2016-05-03,0.15310173797174,33.06,4.9399999999999995,25.23,27.52
2016-05-08,0.152309298607427,31.01,13,24.01,42.81
2016-05-13,0.151627322926726,34.49,1.75,25.58,24.21
2016-05-18,0.152324042638619,34.48,9.08,25.48,38.78
2016-05-23,0.154399457743106,35.21,6.2,25.13,29.2
2016-05-28,0.157853568240187,33.45,14.700000000000001,25.06,38.82
