date,ndvi_sg_scaled,T2M,PPT,RAD,RH
2015-02-07,0.1794885564629906,20.72,1.9,15.78,47.77
2015-02-12,0.1737112509671102,20.81,3.9899999999999998,20.57,44.38
2015-02-17,0.16833754225491424,23.61,0,21.07,31.26
2015-02-22,0.1633674303264019,25.11,0.15,22.37,26.79
2015-02-27,0.15880091518157488,25.76,1.86,18.56,28.75
2015-03-04,0.1551146644648529,24.78,0.15,22.88,40.53
2015-03-09,0.15136033170807958,26.25,1.66,17.59,41.43
2015-03-14,0.14742202481164843,25.46,6.23,23.14,45.24
2015-03-19,0.14341407747934948,29.51,0,25.88,28.32
2015-03-24,0.13970397215619493,30.06,3.9499999999999997,22.9,27.3
2015-03-29,0.1368092090963664,28.34,0,23.25,41.46
2015-04-03,0.13515164197228244,30.19,0,26.05,23.33
2015-04-08,0.13480824794957225,31.04,9.19,21.54,29.88
2015-04-13,0.13558603761827154,25.57,11.15,17.6,56.06
2015-04-18,0.13738876360973268,31.36,0.18000000000000002,24.9,36.46
2015-04-23,0.14039219241606057,33.72,2.58,23.31,23.19
2015-04-28,0.14461015951468603,32.99,4.680000000000001,23.44,31.72
2015-05-03,0.1499336273298944,33.92,2.1799999999999997,23.48,29.21
2015-05-08,0.15622137430378327,34.51,0,23.4,22.44
2015-05-13,0.16334743889448652,33.87,3.54,18.02,32.86
2015-05-18,0.1712541770596574,35.41,0.45,26.68,28.62
2015-05-23,0.18001093322521913,38.37,0.12,26.87,18.57
2015-05-28,0.1896812906303676,38.54,0.07,25.48,17.36
2015-06-02,0.2000397289281075,34.2,6.01,21.08,41.29
2015-06-07,0.2115903330186312,34.51,10.74,23.32,41.24
2015-06-12,0.225259407985459,29.56,37.57,16.71,65.26
2015-06-17,0.24185589934281496,30.05,33.06,19.55,65.55
2015-06-22,0.26165732785299795,27.27,105.28,11.12,81.74
2015-06-27,0.284121238913729,27.93,8.04,14.8,72.11
2015-07-02,0.30800514926577655,27.33,47.97,17.7,79.05
2015-07-07,0.32996330945883307,26.6,86.95,8.3,84.42
2015-07-12,0.34519481246880196,27.42,37.28,14.35,81.23
2015-07-17,0.35114390862665734,26.58,18.080000000000002,12.31,85.94
2015-07-22,0.34905922222149,26.47,52.4,14.8,87.86
2015-07-27,0.34197852483841634,25.92,1.23,21.97,83.01
2015-08-01,0.33375633840807833,25.87,80.99,12.39,85.51
2015-08-06,0.32809357754831914,27.75,3.88,14.58,83.33
2015-08-11,0.3275093314643477,26.41,41.23,16.78,87.41
2015-08-16,0.33135981765881184,26.29,67.72,14.95,86.78
2015-08-21,0.3366405220043715,25.7,14.170000000000002,17.83,83.63
2015-08-26,0.34064909194081866,26.1,52.19,13.31,89.59
2015-08-31,0.3423948874617035,26.33,12.54,12.81,88.58
2015-09-05,0.3413512583105897,26.53,4.47,21.81,78.4
2015-09-10,0.337410665196638,26.47,29.65,19.03,80.22
2015-09-15,0.3307852557212434,26.09,142.68,12.84,89.75
2015-09-20,0.32217210983858763,25.48,11.32,20.23,87.3
2015-09-25,0.31262935290621163,25.04,0,20.11,77.29
2015-09-30,0.30298655135760705,26.37,0.01,19.04,77.82
2015-10-05,0.2937095877875154,24.4,0,22.26,68.95
2015-10-10,0.28508988072692565,25.11,3.6100000000000003,20.08,67.49
2015-10-15,0.27747470346066655,25.05,0,19.32,68.48
2015-10-20,0.27078116944468955,25.28,1.46,17.32,67.64
2015-10-25,0.2645511461653988,24,12.47,14.55,76.08
2015-10-30,0.2583777957781787,21.9,0,14.99,81.65
2015-11-04,0.2520631191716844,23.83,0.07,15.08,66.8
2015-11-09,0.24550490015050325,23.42,0,16.51,54.11
2015-11-14,0.23880352558194295,21.82,0,16.39,60.09
2015-11-19,0.2321611113137735,21.27,0,15.66,61.72
2015-11-24,0.22575752412244843,22.55,0,15.08,61.75
2015-11-29,0.2194878574080462,22.87,0.06,14.94,59.59
2015-12-04,0.21300971472369665,19.83,0,16.48,40.14
2015-12-09,0.2060909284412723,21.3,0.33,10.89,52.92
2015-12-14,0.19846998495079024,18.65,0.14,12.21,42.76
2015-12-19,0.18985939790686088,19.19,2.34,10.05,65.35
2015-12-24,0.18038629745817367,20.95,0,16.19,28.5
2015-12-29,0.17110800250655522,21.74,0,16.72,33.3
2016-01-03,0.1637759571945321,20.42,0,16.24,29.03
2016-01-08,0.15969373055946304,21.2,0,15.29,30.78
2016-01-13,0.15862766982846083,20.05,0,15.05,29.02
2016-01-18,0.1591111495096935,19.51,8.5,9.04,59.11
2016-01-23,0.15902198561924663,15.48,0,19.06,25.94
2016-01-28,0.15677621524479787,20.64,0,18.16,29.87
2016-02-02,0.1518954557812559,21.95,0,18.82,33.59
2016-02-07,0.14540738933601338,22.61,0.01,18.78,26.91
2016-02-12,0.1393054686557155,25.64,0.92,13.68,36.52
2016-02-17,0.13514842472357108,27.46,0.47,17.34,32.99
2016-02-22,0.1330026557423159,27.73,0,17.3,25.29
2016-02-27,0.1319683147065857,26.490000000000002,3.68,15.215,40.965
2016-03-03,0.13062281951112714,27.09,0.72,19.44,26.01
2016-03-08,0.12782048998020332,28.19,8.56,19.52,37.28
2016-03-13,0.12302509677189807,28.19,9.969999999999999,17.17,40.72
2016-03-18,0.11677609622814328,29.16,0,23.26,32.88
2016-03-23,0.11023757039880862,29.18,0,25.6,12.17
2016-03-28,0.1046949168206937,30.21,8.78,22.4,30.69
2016-04-02,0.1010571803397696,33.81,0.53,25.22,19.36
2016-04-07,0.09992359245388471,32.95,0.33,22.3,30.79
2016-04-12,0.10099815736079028,34.58,0.05,27.43,15.67
2016-04-17,0.1032319824835438,35.99,0,26.12,17.89
2016-04-22,0.10565081094577204,34.96,0.06,27.85,13.98
2016-04-27,0.10790177177260084,35.65,2.5500000000000003,24.12,19.77
2016-05-02,0.10991535427215156,34.05,5.17,25.93,29.5
